"track_id";"track_popularity";"track_album_release_date";"playlist_name";"playlist_genre";"playlist_subgenre";"danceability";"energy";"key";"loudness";"mode";"speechiness";"acousticness";"instrumentalness";"liveness";"valence";"tempo";"duration_ms";"duration_seconds";"duration_minutes";"popularity_category";"release_date_age";"danceability_cat";"track_name";"track_artist";"row_num";"energy_category";"acoustic_category";"liveness_category"
"05P4BYqVauVxy0w9g6w2D9";58;"2019-05-17";"Dance Pop Tunes";"pop";"dance pop";0.661;0.78;1;-4.738;1;0.0832;0.0616;0.0;0.23;0.623;116.025;189274;189;3.15;"Alright!";"young";"semi-danceable";"Stand By (feat. Rudimental) [#CWC19]";"LORYN";1;"medium fast";"not confident";"confident"
"05SBRd4fXgn8FX7bf8BCAE";69;"2012-10-26";"ELECTROPOP";"pop";"electropop";0.695;0.869;8;-5.066;1;0.0483;0.41;0.0;0.237;0.58;124.989;234507;235;3.916666666;"Alright!";"old";"semi-danceable";"I Need Your Love (feat. Ellie Goulding)";"Calvin Harris";1;"medium fast";"confident";"confident"
"068LmtzI6xJJDPfPnMje0U";12;"2015-07-17";"Electro Pop | Electropop";"pop";"electropop";0.602;0.874;1;-5.906;0;0.0428;0.00476;0.0192;0.108;0.612;125.017;467585;468;7.8;"Trash";"old";"semi-danceable";"Let It Happen";"Tame Impala";1;"medium fast";"not confident";"slightly confident"
"06BrHnTVDOydsfg0LZ6mQb";56;"2019-04-04";"Cardio";"pop";"dance pop";0.638;0.818;9;-4.517;0;0.05;0.131;1.78e-05;0.107;0.489;126.015;167990;168;2.8;"Alright!";"young";"semi-danceable";"Talk - Alle Farben Remix";"Khalid";1;"medium fast";"slightly confident";"slightly confident"
"06EL94D0TA27Ik0Ke5usbj";67;"2013-01-01";"Post-teen pop";"pop";"post-teen pop";0.645;0.877;5;-3.208;0;0.113;0.294;0.0;0.0759;0.861;82.324;227027;227;3.783333333;"Alright!";"old";"semi-danceable";"The Way";"Ariana Grande";1;"medium fast";"semi confident";"not confident"
"06I6iDFVtZDGcRu9BgHraA";36;"2008-08-12";"This Is Janelle Monáe";"pop";"electropop";0.753;0.647;6;-7.606;0;0.0867;0.207;0.000649;0.15;0.274;119.994;331040;331;5.516666666;"Meh";"old";"highly_danceable";"Sincerely, Jane - EP Version";"Janelle Mon�e";1;"medium slow";"semi confident";"slightly confident"
"06KyNuuMOX1ROXRhj787tj";79;"2016-01-29";"ELECTROPOP";"pop";"electropop";0.728;0.563;1;-8.053;0;0.134;0.621;0.0;0.179;0.352;100.017;217707;218;3.633333333;"Banger";"young";"highly_danceable";"We Don't Talk Anymore";"Charlie Puth";1;"slow";"confident";"slightly confident"
"06mg22JLouk02orwxz0UfD";50;"2019-12-13";"Dance Pop Tunes";"pop";"dance pop";0.81;0.847;10;-4.759;1;0.0557;0.0181;0.738;0.0609;0.63;120.004;167306;167;2.783333333;"Meh";"young";"highly_danceable";"Mr Todd Terry";"Riton";1;"medium fast";"not confident";"not confident"
"06mzeP9GQNSHWd1Nh2C5FM";69;"2019-12-06";"K-Party Dance Mix";"pop";"dance pop";0.737;0.764;0;-5.511;1;0.0947;0.111;0.0;0.0423;0.924;92.044;166213;166;2.766666666;"Alright!";"young";"highly_danceable";"MIDDLE OF THE NIGHT";"Monsta X";1;"medium fast";"slightly confident";"not confident"
"06Pvy98db25O7wlfFFFIRM";72;"2019-03-18";"K-Party Dance Mix";"pop";"dance pop";0.719;0.828;6;-5.559;1;0.0613;0.0343;0.0;0.0747;0.634;139.927;228682;229;3.816666666;"Alright!";"young";"highly_danceable";"Bon Bon Chocolat";"EVERGLOW";1;"medium fast";"not confident";"not confident"
"06wxsDleir1dIlqeNv6m2M";30;"2019-09-20";"a taste of the mainstream";"pop";"post-teen pop";0.574;0.664;1;-6.229;1;0.274;0.169;0.0;0.211;0.543;74.946;195200;195;3.25;"Meh";"young";"semi-danceable";"You Said";"Olmos";1;"medium slow";"slightly confident";"confident"
"06Z7Hy2LUzbcSFmWzwkun1";49;"2019-02-01";"Cardio";"pop";"dance pop";0.686;0.613;2;-5.614;1;0.069;0.0386;0.0;0.251;0.452;104.988;206875;207;3.45;"Meh";"young";"semi-danceable";"With You - Frank Walker Remix";"Tyler Shaw";1;"medium slow";"not confident";"semi confident"
"06ZIzHhJFWf0mDyEylIPf0";52;"2019-10-18";"a taste of the mainstream";"pop";"post-teen pop";0.806;0.439;8;-8.917;1;0.068;0.0625;0.00767;0.098;0.489;131.056;148238;148;2.466666666;"Alright!";"young";"highly_danceable";"Peachy Keen";"L Devine";1;"slow";"not confident";"not confident"
"072GuDuz8KUCpTOx1fDTTt";49;"2019-10-04";"Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s";"pop";"dance pop";0.646;0.412;4;-10.929;0;0.111;0.145;0.0;0.111;0.276;161.878;121482;121;2.016666666;"Meh";"young";"semi-danceable";"Swish";"Josh Stanley";1;"slow";"slightly confident";"slightly confident"
"073ILU1C3APNRGF66VhtyA";77;"2019-12-06";"post-teen alternative, indie, pop (large variety)";"pop";"post-teen pop";0.74;0.498;11;-6.684;0;0.0456;0.0169;0.00282;0.319;0.652;98.016;207039;207;3.45;"Banger";"young";"highly_danceable";"Liar";"Camila Cabello";1;"slow";"not confident";"semi confident"
"07HPV6hzecJmMJwsIX8YVU";65;"2009-01-01";"The Sound of Post-Teen Pop";"pop";"post-teen pop";0.602;0.894;4;-3.975;1;0.032;0.00154;0.0;0.433;0.643;125.988;180800;181;3.016666666;"Alright!";"old";"semi-danceable";"He Could Be the One";"Hannah Montana";1;"medium fast";"not confident";"confident"
"07nH4ifBxUB4lZcsf44Brn";75;"2014-10-31";"ELECTROPOP";"pop";"electropop";0.413;0.856;0;-4.078;0;0.0808;0.0289;0.00571;0.343;0.35;128.017;212960;213;3.55;"Alright!";"old";"semi-danceable";"Blame";"Calvin Harris";1;"medium fast";"not confident";"semi confident"
"07Oz5StQ7GRoygNLaXs2pd";89;"2019-10-25";"Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop";"pop";"post-teen pop";0.668;0.892;5;-3.001;0;0.0645;0.298;0.0;0.735;0.478;95.927;159011;159;2.65;"Banger";"young";"semi-danceable";"Good as Hell (feat. Ariana Grande) - Remix";"Lizzo";1;"medium fast";"semi confident";"confident"
"07tOsOR7E9zW89v2FqzsdG";53;"2014-07-15";"Ultimate Indie Presents... Best Indie Tracks of the 2010s";"pop";"dance pop";0.457;0.883;10;-5.61;0;0.0376;0.209;5.11e-06;0.0912;0.736;99.937;181773;182;3.033333333;"Alright!";"old";"semi-danceable";"Busy Earnin'";"Jungle";1;"medium fast";"semi confident";"not confident"
"07uivRw9i8NFjQbxZQu6g7";37;"2020-01-17";"Dance Pop: Japan";"pop";"dance pop";0.736;0.666;8;-4.503;1;0.0417;0.0795;1.89e-05;0.332;0.22;109.958;163040;163;2.716666666;"Meh";"young";"highly_danceable";"????? No. 5";"CHANMINA";1;"medium slow";"not confident";"semi confident"
"085XpQzAKm4nAfcfRp2get";4;"2013-03-15";"BALLARE - رقص";"pop";"post-teen pop";0.525;0.538;11;-9.366;0;0.0783;0.14;0.117;0.095;0.802;175.953;291162;291;4.85;"Trash";"old";"semi-danceable";"Get Free (feat. Amber Coffman)";"Major Lazer";1;"slow";"slightly confident";"not confident"
"0871vn05d33xTvZllwVWKq";41;"2019-06-07";"Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s";"pop";"dance pop";0.799;0.616;1;-9.501;1;0.262;0.343;4.15e-05;0.14;0.356;95.055;160800;161;2.683333333;"Meh";"young";"highly_danceable";"Sass Cafe";"Josh Stanley";1;"medium slow";"semi confident";"slightly confident"
"08mG3Y1vljYA6bvDt4Wqkj";83;"1980-07-25";"Dr. Q's Prescription Playlist💊";"pop";"post-teen pop";0.31;0.7;9;-5.678;1;0.047;0.011;0.00965;0.0828;0.763;188.386;255493;255;4.25;"Banger";"old";"couch-worthy";"Back In Black";"AC/DC";1;"medium slow";"not confident";"not confident"
"08rBIlTMXlF5uEHobZglxv";53;"2019-09-27";"Pop Remix";"pop";"dance pop";0.64;0.992;4;-3.318;0;0.0585;0.0832;0.0083;0.109;0.479;123.951;166237;166;2.766666666;"Alright!";"young";"semi-danceable";"Million Pieces - M-22 Remix";"Bastille";1;"fast";"not confident";"slightly confident"
"09CtPGIpYB4BrO8qb1RGsF";81;"2015-11-13";"Dance Pop";"pop";"dance pop";0.654;0.76;0;-3.669;0;0.045;0.0797;0.0;0.299;0.41;99.945;200787;201;3.35;"Banger";"old";"semi-danceable";"Sorry";"Justin Bieber";1;"medium fast";"not confident";"semi confident"
"09IStsImFySgyp0pIQdqAc";84;"2018-01-23";"Post Teen Pop";"pop";"post-teen pop";0.753;0.657;7;-3.061;1;0.0449;0.171;0.0;0.112;0.437;107.01;184732;185;3.083333333;"Banger";"young";"highly_danceable";"The Middle";"Zedd";1;"medium slow";"slightly confident";"slightly confident"
"09nxdcY2oYo57fJrG6CCCT";8;"2009-12-25";"90s Dance Hits";"pop";"dance pop";0.813;0.966;0;-3.924;1;0.0417;0.173;0.0;0.0729;0.681;130.086;213461;213;3.55;"Trash";"old";"highly_danceable";"Dragostea Din Tei - Original Romanian Version";"O-Zone";1;"fast";"slightly confident";"not confident"
"09Y1WTdCYfvdJegsPte1A2";0;"2014-10-28";"This Is: Javiera Mena";"pop";"electropop";0.658;0.901;5;-4.899;1;0.0316;0.00563;0.00565;0.138;0.393;127.011;300582;301;5.016666666;"Trash";"old";"semi-danceable";"Los Olores de Tu Alma";"Javiera Mena";1;"fast";"not confident";"slightly confident"
"09yhMTRqQ1I1dniu3PoIQi";67;"2019-01-18";"Electropop 2019";"pop";"electropop";0.674;0.932;8;-4.876;1;0.0718;0.0363;0.0;0.0576;0.826;144.039;180333;180;3.0;"Alright!";"young";"semi-danceable";"Don't Kill My High";"Lost Kings";1;"fast";"not confident";"not confident"
"0A5gdlrpAuQqZ2iFgnqBFW";76;"2018-09-07";"Dance Pop Hits";"pop";"dance pop";0.813;0.761;10;-5.687;0;0.085;0.0529;0.0119;0.337;0.29;124.957;173067;173;2.883333333;"Banger";"young";"highly_danceable";"Moonlight";"Gaullin";1;"medium fast";"not confident";"semi confident"
"0afEXSeJYJJEhPSQonZtIe";39;"2019-12-12";"TUNES DANCE AND POP";"pop";"dance pop";0.762;0.525;11;-7.066;1;0.13;0.0374;0.000168;0.0944;0.632;166.021;179277;179;2.983333333;"Meh";"young";"highly_danceable";"Like It or Not";"Ksenia";1;"slow";"not confident";"not confident"
"0afhq8XCExXpqazXczTSve";80;"2017-03-03";"ElectroPop 2020";"pop";"electropop";0.624;0.876;9;-3.374;1;0.1;0.0735;0.0;0.327;0.781;99.943;170827;171;2.85;"Banger";"young";"semi-danceable";"Galway Girl";"Ed Sheeran";1;"medium fast";"not confident";"semi confident"
"0ahbzg4GCq3wJzUM3cjS3N";67;"2019-04-01";"Best of 2019 Dance Pop: Japan";"pop";"dance pop";0.715;0.88;7;-2.94;1;0.0685;0.00373;0.0;0.104;0.669;115.012;200913;201;3.35;"Alright!";"young";"highly_danceable";"Violeta";"IZ*ONE";1;"medium fast";"not confident";"slightly confident"
"0aHWQ6E8E4YejHS1P3D8t6";34;"2019-07-26";"Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s";"pop";"dance pop";0.836;0.47;9;-11.828;0;0.211;0.527;0.000131;0.0963;0.317;110.014;170400;170;2.833333333;"Meh";"young";"highly_danceable";"Rich Boy";"Josh Stanley";1;"slow";"confident";"not confident"
"0AKejOKlGdiB53QpwAeenO";11;"2016-10-11";"Electropop Hits  2017-2020";"pop";"electropop";0.777;0.627;7;-6.142;1;0.0792;0.356;0.0;0.0956;0.444;100.054;214480;214;3.566666666;"Trash";"young";"highly_danceable";"Don't Wanna Know";"Maroon 5";1;"medium slow";"semi confident";"not confident"
"0AkQbXGN4KG34TS7xLrM68";72;"2012-11-09";"🤩🤪Post Teen Pop🤪🤩";"pop";"post-teen pop";0.63;0.934;4;-2.559;1;0.0589;0.0186;0.0;0.324;0.905;89.992;182960;183;3.05;"Alright!";"old";"semi-danceable";"Kiss You";"One Direction";1;"fast";"not confident";"semi confident"
"0AKxkfd5NLlWMXCVgH6a6X";2;"2017-01-23";"Pop Warmup 130 BPM";"pop";"dance pop";0.691;0.874;4;-6.276;0;0.09;0.0286;0.633;0.0704;0.0909;127.99;283193;283;4.716666666;"Trash";"young";"semi-danceable";"Shades Of Voices (Original Mix)";"PULLER";1;"medium fast";"not confident";"not confident"
"0aLG42zaidNkblhiQgJknP";63;"2019-02-11";"K-Party Dance Mix";"pop";"dance pop";0.64;0.757;7;-5.532;1;0.0689;0.0261;0.0;0.127;0.413;104.943;208968;209;3.483333333;"Alright!";"young";"semi-danceable";"WANT";"TAEMIN";1;"medium fast";"not confident";"slightly confident"
"0aOluBqXYd0rFSCsgDyAWX";24;"2014-10-07";"Post pop teen";"pop";"post-teen pop";0.566;0.664;4;-5.303;0;0.0464;0.634;0.0;0.116;0.437;128.945;241693;242;4.033333333;"Trash";"old";"semi-danceable";"Take Me to Church";"Hozier";1;"medium slow";"confident";"slightly confident"
"0azC730Exh71aQlOt9Zj3y";79;"2016-04-29";"BALLARE - رقص";"pop";"post-teen pop";0.63;0.928;9;-2.787;0;0.0331;0.199;0.124;0.148;0.465;123.963;222160;222;3.7;"Banger";"young";"semi-danceable";"This Is What You Came For";"Calvin Harris";1;"fast";"slightly confident";"slightly confident"
"0azhsizFhBepOGgcQ3EKaL";41;"2019-11-17";"Dance Pop: Japan";"pop";"dance pop";0.74;0.56;4;-5.566;0;0.0387;0.172;0.0;0.0717;0.207;111.083;264935;265;4.416666666;"Meh";"young";"highly_danceable";"SUN DAY - Shinichi Osawa Remix";"HIRAIDAI";1;"slow";"slightly confident";"not confident"
"0b8PKDeFc2T5u9cRbLLv2r";60;"2000-01-01";"90s Dance Hits";"pop";"dance pop";0.802;0.671;1;-9.969;1;0.0424;0.0233;0.0108;0.0943;0.912;103.993;216360;216;3.6;"Alright!";"old";"highly_danceable";"We�re Going to Ibiza!";"Vengaboys";1;"medium slow";"not confident";"not confident"
"0b9oOr2ZgvyQu88wzixux9";76;"2018-05-06";"BALLARE - رقص";"pop";"post-teen pop";0.854;0.463;5;-6.159;1;0.137;0.117;0.0;0.354;0.549;120.024;225773;226;3.766666666;"Banger";"young";"highly_danceable";"This Is America";"Childish Gambino";1;"slow";"slightly confident";"semi confident"
"0BiGd2FNDQ0eh79ZHfp6tS";55;"2016-04-08";"Dance Pop Hits";"pop";"dance pop";0.728;0.794;1;-3.992;1;0.0635;0.148;0.0;0.0688;0.523;112.071;194360;194;3.233333333;"Alright!";"young";"highly_danceable";"All I Wanna Do";"Martin Jensen";1;"medium fast";"slightly confident";"not confident"
"0BlcnJ36zeJTr1wn2OCYnt";45;"2019-08-16";"a taste of the mainstream";"pop";"post-teen pop";0.609;0.842;5;-3.034;0;0.0419;0.0645;0.0;0.0828;0.792;100.078;213622;214;3.566666666;"Meh";"young";"semi-danceable";"Deliriously Good";"Rat City";1;"medium fast";"not confident";"not confident"
"0bMbDctzMmTyK2j74j3nF3";85;"2019-12-27";"Dance Pop Tunes";"pop";"dance pop";0.67;0.668;3;-4.306;0;0.0422;0.536;0.0;0.133;0.608;88.033;179053;179;2.983333333;"Banger";"young";"semi-danceable";"Alone, Pt. II";"Alan Walker";1;"medium slow";"confident";"slightly confident"
"0bs6tC9MHag57CQU3A0Im1";38;"2017-10-13";"Christian Dance Party";"pop";"dance pop";0.645;0.578;8;-6.818;0;0.039;0.0171;0.0;0.0815;0.536;97.95;181905;182;3.033333333;"Meh";"young";"semi-danceable";"The Reason (Sean Cook Remix)";"Urban Rescue";1;"slow";"not confident";"not confident"
"0byab45cmZntz74RxcASrf";9;"2019-02-01";"Cardio";"pop";"dance pop";0.733;0.839;1;-2.84;0;0.0335;0.0145;0.000187;0.162;0.471;126.009;223533;224;3.733333333;"Trash";"young";"highly_danceable";"Close To Me (with Diplo) (feat. Swae Lee) - Felix Cartal Remix";"Ellie Goulding";1;"medium fast";"not confident";"slightly confident"
"0C3QADQBYFjcSeU8bY7Oex";55;"2019-05-03";"Pop Dance Hits";"pop";"dance pop";0.631;0.951;5;-6.203;1;0.0439;0.108;0.836;0.173;0.703;124.007;219715;220;3.666666666;"Alright!";"young";"semi-danceable";"Simple Hit";"Dombresky";1;"fast";"slightly confident";"slightly confident"
"0CAfXk7DXMnon4gLudAp7J";79;"2008-03-17";"Dr. Q's Prescription Playlist💊";"pop";"post-teen pop";0.918;0.609;10;-5.64;0;0.0791;0.0928;0.0;0.139;0.304;128.008;231400;231;3.85;"Banger";"old";"highly_danceable";"Low (feat. T-Pain)";"Flo Rida";1;"medium slow";"not confident";"slightly confident"
"0cge96qsW6ifXppeiiRIGd";61;"2018-12-07";"Electropop 2019";"pop";"electropop";0.775;0.723;0;-4.095;1;0.0468;0.282;0.000371;0.126;0.756;104.991;194286;194;3.233333333;"Alright!";"young";"highly_danceable";"How You Love Me (feat. Conor Maynard & Snoop Dogg)";"Hardwell";1;"medium slow";"semi confident";"slightly confident"
"0Cn8NxJZz7zUlsaA3rXoIU";81;"2019-11-19";"Todo Éxitos";"pop";"dance pop";0.886;0.752;1;-3.819;0;0.0949;0.191;2.76e-06;0.146;0.435;94.066;220147;220;3.666666666;"Banger";"young";"highly_danceable";"Easy - Remix";"Jhay Cortez";1;"medium fast";"slightly confident";"slightly confident"
"0CNuwuX6yEMcQYsCnwUfaV";35;"2012-01-01";"Post teen pop";"pop";"post-teen pop";0.659;0.789;6;-3.444;1;0.0717;0.184;0.0;0.0535;0.493;121.947;162960;163;2.716666666;"Meh";"old";"semi-danceable";"Dynamite";"China Anne McClain";1;"medium fast";"slightly confident";"not confident"
"0cppqb4vQycORHNMxr8DGd";70;"2019-09-26";"post-teen alternative, indie, pop (large variety)";"pop";"post-teen pop";0.598;0.502;1;-6.273;1;0.0447;0.862;0.0;0.096;0.403;121.621;198391;198;3.3;"Alright!";"young";"semi-danceable";"Favorite Part Of Me";"Astrid S";1;"slow";"confident";"not confident"
"0ct6r3EGTcMLPtrXHDvVjc";80;"2014-01-01";"Dance Pop Hits";"pop";"dance pop";0.527;0.835;6;-5.298;1;0.0433;0.0166;0.0;0.249;0.654;125.983;176658;177;2.95;"Banger";"old";"semi-danceable";"The Nights";"Avicii";1;"medium fast";"not confident";"confident"
"0cVaY6PNGxCPi1gOIapr26";46;"2019-06-12";"a taste of the mainstream";"pop";"post-teen pop";0.721;0.551;1;-5.873;1;0.216;0.131;0.00662;0.342;0.798;80.004;185016;185;3.083333333;"Meh";"young";"highly_danceable";"Playground";"More Giraffes";1;"slow";"slightly confident";"semi confident"
